Outbreak	Coronahit_rapid
dataType	resequencing_consistency_check
source	Nabil-Fareed_Alikhan
pmid	doi://10.1101/2020.06.24.162156
Organism	SARS-CoV-2
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-rapid.dnd

SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969382	ERS5446179	Coronahit_rapid	-	LR963321	NORW-EEEFF 	-	94869296ee632413f2981871763216884b1694243b7eb0ed96cb9512281c7b65	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b3aba2a7dd72d9039849a4b2201d472118f5e66a87f62401dc4f372b7686b733	NORW-EEEFF_ARTIC_LoCost	FALSE	
ERR4970051	ERS5446179	Coronahit_rapid	-	LR963321	NORW-EEEFF 	-	e3afbfbbf81836253424e642591ab9b817809cb07aa2b74e2a4c0205c05962e9	ce23db27138c3f4a79f21df023c3c3e39217375a8ec6996322b7c7cb1a23e149	b3aba2a7dd72d9039849a4b2201d472118f5e66a87f62401dc4f372b7686b733	NORW-EEEFF_CoronaHiT-Illumina	FALSE	
ERR4969321	ERS5446179	Coronahit_rapid	-	LR963321	NORW-EEEFF 	-	d2f96b171fa1eef3547faff5a74c9f86ce29ad8780173f9df3711eb741bee231	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b3aba2a7dd72d9039849a4b2201d472118f5e66a87f62401dc4f372b7686b733	NORW-EEEFF_CoronaHiT-ONT	FALSE	
ERR4969433	ERS5446169	Coronahit_rapid	-	LR963339	NORW-EF91B 	-	605c9ecf746a656170b7ccbbb844eab9b5b88cc3a852e3d9203fc2e22f5d47f5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f9547211c52e3d121dd4dd14217395d6a6080b5fa8035d3ebd97074982779eac	NORW-EF91B_ARTIC_LoCost	FALSE	
ERR4970053	ERS5446169	Coronahit_rapid	-	LR963339	NORW-EF91B 	-	3a24dfccc97e7742cfc83a169d5ca4869d196a919442f4e0b9f10c0a579e4bab	26a6eb1f3b7b1ee0b199c4d463eb3d86e357b849df81181e0ef3453650b8346f	f9547211c52e3d121dd4dd14217395d6a6080b5fa8035d3ebd97074982779eac	NORW-EF91B_CoronaHiT-Illumina	FALSE	
ERR4969340	ERS5446169	Coronahit_rapid	-	LR963339	NORW-EF91B 	-	afd698fd33191eda8d2cac1e5952529c8a49f03463c8c7a19df900b3031d2eba	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f9547211c52e3d121dd4dd14217395d6a6080b5fa8035d3ebd97074982779eac	NORW-EF91B_CoronaHiT-ONT	FALSE	
ERR4969379	ERS5446191	Coronahit_rapid	-	LR963338	NORW-EF939 	-	90149a81171bbe126b37b188d36df8de0dede8241ebb6776dfba49d6d7f612de	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8eb5887a14992e8a33309c7c5aeb5df041a441696fc98e29d44b14796b569ef2	NORW-EF939_ARTIC_LoCost	FALSE	
ERR4970055	ERS5446191	Coronahit_rapid	-	LR963338	NORW-EF939 	-	a0ec0ce2029d8a05f47acc33534437ac9e00e07e25d08611880a92682280c9cf	c7675654c174699c12121f3572cd813ade8999ef7a3f6c19c64794a97409c3ca	8eb5887a14992e8a33309c7c5aeb5df041a441696fc98e29d44b14796b569ef2	NORW-EF939_CoronaHiT-Illumina	FALSE	
ERR4969344	ERS5446191	Coronahit_rapid	-	LR963338	NORW-EF939 	-	db55cb7180223d01742c9c50897d3e5fc4f59663dbad731981e6b68c32d5bff8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8eb5887a14992e8a33309c7c5aeb5df041a441696fc98e29d44b14796b569ef2	NORW-EF939_CoronaHiT-ONT	FALSE	
ERR4969393	ERS5446173	Coronahit_rapid	-	LR963335	NORW-EFD6A 	-	d6a5de9bb29e282f762d002b5d60b9acaa7c197cf6a2fd15b3e4aa5b12843cda	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	78569c0cf854e9efbd3e7509c74e493eb3301457b30dc57d6d76f8617ca58629	NORW-EFD6A_ARTIC_LoCost	FALSE	
ERR4969997	ERS5446173	Coronahit_rapid	-	LR963335	NORW-EFD6A 	-	444b8d8f5b5b8727f9665e0ecf0697e8d5016be9657405e13f2a40e6de5e1b9e	6752ed058676b03853ba4bdf46ec75b1e7e4db57ccb03aae35a6534b9d4204bb	78569c0cf854e9efbd3e7509c74e493eb3301457b30dc57d6d76f8617ca58629	NORW-EFD6A_CoronaHiT-Illumina	FALSE	
ERR4969338	ERS5446173	Coronahit_rapid	-	LR963335	NORW-EFD6A 	-	2787f9844f5ec905788bcfd815786ca7b7db94cd128084ffe96b70197b21e8ff	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	78569c0cf854e9efbd3e7509c74e493eb3301457b30dc57d6d76f8617ca58629	NORW-EFD6A_CoronaHiT-ONT	FALSE	
ERR4969394	ERS5446195	Coronahit_rapid	-	LR963317	NORW-EFD88 	-	108efe619ad11e20c6368f976a15abe3943e124b6b7530514cade7ac170084bc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ed39d51c0c5d7509f3daf375cf457bd3ffae69749d1d89b4fbd6cc80ca3f823d	NORW-EFD88_ARTIC_LoCost	FALSE	
ERR4969198	ERS5446195	Coronahit_rapid	-	LR963317	NORW-EFD88 	-	9d8bd73befb37dc7818f36282e346df47e9f5ad945291db87dc4bf29e01a9ad0	a58c55c1d58b430709dcbb4c210f154cf5fe093039cf3749102a79fbaa1ea5ff	ed39d51c0c5d7509f3daf375cf457bd3ffae69749d1d89b4fbd6cc80ca3f823d	NORW-EFD88_CoronaHiT-Illumina	FALSE	
ERR4969317	ERS5446195	Coronahit_rapid	-	LR963317	NORW-EFD88 	-	11f931cd29b014cddd4a0e64efc4da2d257b40f1a9b2ab35cef77b6ef662531a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ed39d51c0c5d7509f3daf375cf457bd3ffae69749d1d89b4fbd6cc80ca3f823d	NORW-EFD88_CoronaHiT-ONT	FALSE	
